file,frontend_lines,backend_lines,classification,canonical_location,rationale
UnifiedAgentOrchestrator.ts,2615,2867,consolidate,packages/backend/src/runtime/ (decomposed),Decomposed into 5 runtime services in Sprint 4. Both copies deleted in Sprint 10.
UsageTrackingService.ts,198,198,migrate,packages/core-services/,Shared analytics; canonical copy goes to core-services in Sprint 6.
UserSettingsService.ts,198,198,migrate,packages/core-services/,Shared settings; canonical copy goes to core-services in Sprint 6.
ValueCaseService.ts,595,595,migrate,packages/backend/src/domain/,Core domain service; migrates to domain layer in Sprint 3.
ValueFabricService.ts,723,723,migrate,packages/backend/src/domain/,Core domain service; migrates to domain layer in Sprint 3.
ValueKernel.ts,145,145,migrate,packages/backend/src/domain/economic-kernel/,Core domain logic; migrates to economic-kernel in Sprint 3.
ValueLifecycleOrchestrator.ts,845,844,consolidate,packages/backend/src/runtime/,Lifecycle orchestration absorbed by the 5 runtime services. Delete both old copies.
ValueMetricsTracker.ts,347,347,migrate,packages/backend/src/domain/,Domain concern; migrates to domain layer in Sprint 3.
ValuePredictionTracker.ts,406,406,migrate,packages/backend/src/domain/,Domain concern; migrates to domain layer in Sprint 3.
ValueTreeService.ts,323,322,migrate,packages/backend/src/domain/,Domain concern; migrates to domain layer in Sprint 3.
VectorSearchService.ts,198,198,consolidate,packages/backend/src/services/,Backend-only vector search. Delete frontend copy.
VersionHistoryService.ts,198,198,consolidate,packages/backend/src/services/,Backend-only. Delete frontend copy.
WebAuthnService.ts,379,379,consolidate,packages/backend/src/services/,Backend-only auth. Delete frontend copy.
WebScraperService.ts,198,198,consolidate,packages/backend/src/services/,Backend-only. Delete frontend copy.
WebSocketManager.ts,198,198,consolidate,packages/backend/src/services/,Backend-only. Delete frontend copy.
WebSocketUsageGuide.ts,284,284,delete,—,Documentation file masquerading as a service. Delete both copies.
WorkflowCompensation.ts,198,198,consolidate,packages/backend/src/runtime/execution-runtime/,Saga compensation migrates to ExecutionRuntime. Delete both old copies.
WorkflowEventListener.ts,198,198,consolidate,packages/backend/src/runtime/execution-runtime/,Event handling migrates to ExecutionRuntime. Delete both old copies.
WorkflowExecutionStore.ts,198,198,consolidate,packages/backend/src/runtime/execution-runtime/,Execution state migrates to ExecutionRuntime. Delete both old copies.
WorkflowLifecycleIntegration.ts,198,198,consolidate,packages/backend/src/runtime/execution-runtime/,Lifecycle integration migrates to ExecutionRuntime. Delete both old copies.
WorkflowSDUIAdapter.ts,198,198,consolidate,packages/backend/src/runtime/artifact-composer/,SDUI generation migrates to ArtifactComposer. Delete both old copies.
WorkflowStateMachine.ts,198,198,consolidate,packages/backend/src/runtime/execution-runtime/,State machine migrates to ExecutionRuntime. Delete both old copies.
WorkflowStateService.ts,198,198,consolidate,packages/backend/src/services/,Backend-only. Delete frontend copy.
WorkspaceStateService.ts,198,198,consolidate,packages/backend/src/services/,Backend-only. Delete frontend copy.
agent-types.ts,198,198,consolidate,packages/backend/src/types/,Type definitions belong in backend types. Delete frontend copy.
consentRegistry.ts,198,198,consolidate,packages/backend/src/services/,Backend-only consent tracking. Delete frontend copy.
errors.ts,198,198,migrate,packages/core-services/,Shared error types; canonical copy goes to core-services in Sprint 6.
index.ts,—,—,delete,—,Barrel re-export files in both locations; remove after all services are migrated.
